top - 20:12:23 up 17 min,  1 user,  load average: 0.00, 0.00, 0.00
Tasks:  96 total,   1 running,  95 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.2 us,  6.2 sy,  0.0 ni, 87.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    463.8 total,      9.6 free,    411.0 used,     43.2 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.     21.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1148 ghaf      20   0   13852   2564   1036 S   6.7   0.5   0:00.09 sshd-session
      1 root      20   0   16400   4108    840 S   0.0   0.9   0:00.95 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_g
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_p
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-slub_
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-netns
      8 root      20   0       0      0      0 I   0.0   0.0   0:00.62 kworker/0:0-events
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mm_pe
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker/u2:1-events_power_efficient
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_kthread
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_trace_kthread
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/0
     18 root      20   0       0      0      0 I   0.0   0.0   0:00.06 rcu_preempt
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-inet_
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-write
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.08 kcompactd0
     30 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kinte
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kbloc
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-blkcg
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-devfr
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1H
     36 root      20   0       0      0      0 S   0.0   0.0   0:03.76 kswapd0
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kthro
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mld
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ipv6_
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kstrp
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u3:0-rb_allocator
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ata_s
    128 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-scsi_
    130 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-scsi_
    132 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-scsi_
    134 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-scsi_
    136 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-scsi_
    138 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_5
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-scsi_
    140 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u2:3-events_unbound
    142 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker/u2:5-events_unbound
    146 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker/0:4-events
    408 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
    422 root      -2   0       0      0      0 S   0.0   0.0   0:00.02 psimon
    433 root      20   0   32652   1492    852 S   0.0   0.3   0:00.14 systemd-journal
    487 root      20   0   15752   2048    128 S   0.0   0.4   0:00.10 systemd-udevd
    504 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    577 systemd+  20   0    9644    448     64 S   0.0   0.1   0:00.30 systemd-oomd
